#Peking DateTime;(deg C) Min Temperature (MERRA2) at 39.9079N,-116.6695W, 2008-01-01 to 2019-12-31
2008-01-01;-9.3535
2008-01-02;-7.8919
2008-01-03;-9.0756
2008-01-04;-9.8554
2008-01-05;-8.0043
2008-01-06;-7.506
2008-01-07;-7.7792
2008-01-08;-8.899
2008-01-09;-10.6687
2008-01-10;-10.3872
2008-01-11;-12.0239
2008-01-12;-11.4718
2008-01-13;-13.2475
2008-01-14;-13.4842
2008-01-15;-14.2656
2008-01-16;-12.3048
2008-01-17;-12.8667
2008-01-18;-11.0235
2008-01-19;-8.6896
2008-01-20;-9.3478
2008-01-21;-8.9589
2008-01-22;-14.0145
2008-01-23;-13.9215
2008-01-24;-11.8572
2008-01-25;-10.2371
2008-01-26;-10.7068
2008-01-27;-7.9417
2008-01-28;-10.7933
2008-01-29;-12.5029
2008-01-30;-11.9155
2008-01-31;-11.6923
2008-02-01;-11.8045
2008-02-02;-11.9051
2008-02-03;-11.7864
2008-02-04;-8.6903
2008-02-05;-11.9361
2008-02-06;-12.4585
2008-02-07;-11.1582
2008-02-08;-11.5065
2008-02-09;-10.2718
2008-02-10;-9.3907
2008-02-11;-15.0234
2008-02-12;-13.3134
2008-02-13;-10.236
2008-02-14;-11.048
2008-02-15;-9.7879
2008-02-16;-9.5475
2008-02-17;-5.4338
2008-02-18;-5.306
2008-02-19;-2.9703
2008-02-20;-3.7846
2008-02-21;-1.8597
2008-02-22;-6.6076
2008-02-23;-5.2692
2008-02-24;-5.576
2008-02-25;-5.7083
2008-02-26;-2.5983
2008-02-27;-1.2799
2008-02-28;-2.5492
2008-02-29;0.1059
2008-03-01;-2.0942
2008-03-02;-2.4768
2008-03-03;-3.0839
2008-03-04;-3.6908
2008-03-05;-2.4969
2008-03-06;-2.0127
2008-03-07;1.8376
2008-03-08;-0.1546
2008-03-09;0.2546
2008-03-10;1.1413
2008-03-11;1.3274
2008-03-12;-1.789
2008-03-13;-2.1648
2008-03-14;-0.887
2008-03-15;-1.9533
2008-03-16;-1.916
2008-03-17;2.6627
2008-03-18;-0.7937
2008-03-19;0.2994
2008-03-20;0.2967
2008-03-21;1.0195
2008-03-22;1.0898
2008-03-23;-1.2254
2008-03-24;-1.7839
2008-03-25;-1.5292
2008-03-26;-0.985
2008-03-27;0.8572
2008-03-28;-0.3749
2008-03-29;-0.9868
2008-03-30;-0.1878
2008-03-31;5.2711
2008-04-01;4.4372
2008-04-02;-2.0351
2008-04-03;3.2925
2008-04-04;5.7899
2008-04-05;8.8769
2008-04-06;3.8639
2008-04-07;7.31
2008-04-08;8.1036
2008-04-09;9.0945
2008-04-10;6.1192
2008-04-11;7.3946
2008-04-12;3.3712
2008-04-13;9.8045
2008-04-14;8.7257
2008-04-15;8.7915
2008-04-16;9.3169
2008-04-17;12.7149
2008-04-18;11.6421
2008-04-19;10.164
2008-04-20;8.5728
2008-04-21;8.6932
2008-04-22;1.1473
2008-04-23;3.5391
2008-04-24;5.3175
2008-04-25;6.1936
2008-04-26;4.6685
2008-04-27;6.319
2008-04-28;9.1008
2008-04-29;11.2153
2008-04-30;10.7604
2008-05-01;13.162
2008-05-02;11.775
2008-05-03;5.1068
2008-05-04;5.8776
2008-05-05;10.746
2008-05-06;13.9796
2008-05-07;8.6997
2008-05-08;11.8137
2008-05-09;4.6145
2008-05-10;9.3725
2008-05-11;7.1588
2008-05-12;6.7121
2008-05-13;10.4976
2008-05-14;8.5466
2008-05-15;11.1308
2008-05-16;10.3226
2008-05-17;8.7993
2008-05-18;9.9493
2008-05-19;9.1047
2008-05-20;9.1298
2008-05-21;12.8382
2008-05-22;15.4029
2008-05-23;15.9907
2008-05-24;14.289
2008-05-25;16.1567
2008-05-26;16.4005
2008-05-27;11.1526
2008-05-28;13.1342
2008-05-29;12.0427
2008-05-30;11.3625
2008-05-31;12.7093
2008-06-01;10.7883
2008-06-02;13.2983
2008-06-03;11.9618
2008-06-04;13.5873
2008-06-05;16.5825
2008-06-06;13.7145
2008-06-07;15.5274
2008-06-08;16.5282
2008-06-09;16.9405
2008-06-10;18.8299
2008-06-11;19.0743
2008-06-12;19.8875
2008-06-13;18.4087
2008-06-14;16.2721
2008-06-15;17.6182
2008-06-16;16.4912
2008-06-17;14.5069
2008-06-18;16.6903
2008-06-19;20.6781
2008-06-20;19.6813
2008-06-21;17.9149
2008-06-22;20.4407
2008-06-23;17.4811
2008-06-24;18.3413
2008-06-25;18.8827
2008-06-26;18.551
2008-06-27;18.968
2008-06-28;19.4982
2008-06-29;18.9344
2008-06-30;21.5601
2008-07-01;18.3363
2008-07-02;19.2449
2008-07-03;23.51
2008-07-04;21.7366
2008-07-05;19.7182
2008-07-06;22.3615
2008-07-07;21.4011
2008-07-08;20.2588
2008-07-09;22.1215
2008-07-10;22.8126
2008-07-11;19.7505
2008-07-12;19.8413
2008-07-13;22.4051
2008-07-14;18.787
2008-07-15;19.0236
2008-07-16;20.9436
2008-07-17;20.7608
2008-07-18;19.8753
2008-07-19;20.1594
2008-07-20;19.5142
2008-07-21;22.1851
2008-07-22;21.104
2008-07-23;21.7426
2008-07-24;22.9868
2008-07-25;24.1414
2008-07-26;22.431
2008-07-27;22.1926
2008-07-28;23.0535
2008-07-29;21.537
2008-07-30;22.4397
2008-07-31;22.7168
2008-08-01;20.9249
2008-08-02;20.8874
2008-08-03;21.2496
2008-08-04;23.2015
2008-08-05;21.354
2008-08-06;22.0419
2008-08-07;24.1014
2008-08-08;25.0254
2008-08-09;23.9746
2008-08-10;20.1394
2008-08-11;21.1035
2008-08-12;22.0852
2008-08-13;22.3573
2008-08-14;19.0948
2008-08-15;16.6265
2008-08-16;17.8377
2008-08-17;17.6099
2008-08-18;18.7353
2008-08-19;20.6683
2008-08-20;19.3874
2008-08-21;15.7697
2008-08-22;17.3228
2008-08-23;20.6083
2008-08-24;19.3934
2008-08-25;18.8913
2008-08-26;17.9391
2008-08-27;18.1073
2008-08-28;18.2928
2008-08-29;19.8935
2008-08-30;13.7784
2008-08-31;12.9507
2008-09-01;15.5086
2008-09-02;18.7946
2008-09-03;16.393
2008-09-04;15.0368
2008-09-05;15.6202
2008-09-06;19.195
2008-09-07;17.2362
2008-09-08;18.1038
2008-09-09;13.8745
2008-09-10;11.8217
2008-09-11;13.8808
2008-09-12;15.0174
2008-09-13;15.0039
2008-09-14;14.7837
2008-09-15;16.4733
2008-09-16;15.1696
2008-09-17;13.863
2008-09-18;16.5166
2008-09-19;14.842
2008-09-20;16.1847
2008-09-21;17.2486
2008-09-22;9.7859
2008-09-23;10.0637
2008-09-24;9.8147
2008-09-25;5.1113
2008-09-26;8.6382
2008-09-27;6.3713
2008-09-28;7.2917
2008-09-29;9.3189
2008-09-30;11.4643
2008-10-01;10.8946
2008-10-02;12.3991
2008-10-03;10.8277
2008-10-04;5.1065
2008-10-05;3.4469
2008-10-06;5.2345
2008-10-07;6.1285
2008-10-08;8.4513
2008-10-09;4.0834
2008-10-10;5.2469
2008-10-11;6.2467
2008-10-12;9.9435
2008-10-13;6.9802
2008-10-14;8.6566
2008-10-15;10.7453
2008-10-16;10.669
2008-10-17;10.8574
2008-10-18;6.4932
2008-10-19;8.3214
2008-10-20;10.1227
2008-10-21;11.7122
2008-10-22;5.5336
2008-10-23;-1.6093
2008-10-24;0.9339
2008-10-25;0.2972
2008-10-26;1.4796
2008-10-27;1.3344
2008-10-28;4.1247
2008-10-29;1.9075
2008-10-30;1.5159
2008-10-31;2.0463
2008-11-01;-0.5111
2008-11-02;0.2091
2008-11-03;0.6069
2008-11-04;2.2369
2008-11-05;2.9662
2008-11-06;-0.3217
2008-11-07;-0.8484
2008-11-08;-1.2849
2008-11-09;-2.1875
2008-11-10;-1.3521
2008-11-11;-0.2663
2008-11-12;1.4295
2008-11-13;-2.3211
2008-11-14;-0.9736
2008-11-15;-2.8302
2008-11-16;-5.1192
2008-11-17;-5.7972
2008-11-18;-5.4217
2008-11-19;-2.9128
2008-11-20;-2.2056
2008-11-21;-1.0415
2008-11-22;-2.5279
2008-11-23;-0.5745
2008-11-24;-2.9115
2008-11-25;-2.5388
2008-11-26;-5.0978
2008-11-27;-3.1402
2008-11-28;-3.125
2008-11-29;-3.1525
2008-11-30;-0.3448
2008-12-01;-2.5326
2008-12-02;-1.4248
2008-12-03;-4.3209
2008-12-04;-13.5422
2008-12-05;-12.4465
2008-12-06;-9.7867
2008-12-07;-6.5865
2008-12-08;-4.3011
2008-12-09;-2.4578
2008-12-10;-7.6853
2008-12-11;-6.2419
2008-12-12;-9.4857
2008-12-13;-7.9869
2008-12-14;-5.365
2008-12-15;-4.8927
2008-12-16;-4.5444
2008-12-17;-10.9966
2008-12-18;-8.812
2008-12-19;-11.4512
2008-12-20;-13.7562
2008-12-21;-15.7884
2008-12-22;-13.529
2008-12-23;-9.5572
2008-12-24;-10.2732
2008-12-25;-11.7312
2008-12-26;-10.0141
2008-12-27;-8.5093
2008-12-28;-9.4456
2008-12-29;-10.4215
2008-12-30;-11.3946
2008-12-31;-12.9145
2009-01-01;-11.6091
2009-01-02;-8.2639
2009-01-03;-11.1672
2009-01-04;-12.8775
2009-01-05;-11.5323
2009-01-06;-11.3139
2009-01-07;-9.1306
2009-01-08;-12.9515
2009-01-09;-13.1945
2009-01-10;-11.4933
2009-01-11;-12.5864
2009-01-12;-11.1301
2009-01-13;-13.2848
2009-01-14;-13.2114
2009-01-15;-11.1961
2009-01-16;-8.8344
