#Tibet-Lhasa DateTime;(deg C) Min Temperature (MERRA2) at 29.6621N,-91.1359W, 2008-01-01 to 2019-12-31
2008-01-01;-11.6797
2008-01-02;-13.172
2008-01-03;-13.8666
2008-01-04;-14.1609
2008-01-05;-14.2992
2008-01-06;-13.4843
2008-01-07;-11.9482
2008-01-08;-12.5979
2008-01-09;-11.941
2008-01-10;-13.7807
2008-01-11;-15.5337
2008-01-12;-15.9355
2008-01-13;-12.8167
2008-01-14;-12.3494
2008-01-15;-12.9661
2008-01-16;-12.5372
2008-01-17;-11.2329
2008-01-18;-13.2199
2008-01-19;-14.6433
2008-01-20;-16.5896
2008-01-21;-17.179
2008-01-22;-16.9865
2008-01-23;-14.2345
2008-01-24;-16.4375
2008-01-25;-16.7222
2008-01-26;-17.8593
2008-01-27;-17.9378
2008-01-28;-17.6708
2008-01-29;-14.0358
2008-01-30;-15.1972
2008-01-31;-19.48
2008-02-01;-19.7982
2008-02-02;-19.9132
2008-02-03;-18.0167
2008-02-04;-15.3248
2008-02-05;-15.7641
2008-02-06;-14.3664
2008-02-07;-13.5067
2008-02-08;-14.2589
2008-02-09;-14.5361
2008-02-10;-14.8437
2008-02-11;-14.4667
2008-02-12;-15.858
2008-02-13;-21.1791
2008-02-14;-21.3698
2008-02-15;-17.0943
2008-02-16;-17.5734
2008-02-17;-15.709
2008-02-18;-11.8248
2008-02-19;-12.3331
2008-02-20;-19.0478
2008-02-21;-19.4338
2008-02-22;-12.5436
2008-02-23;-9.4734
2008-02-24;-9.9928
2008-02-25;-12.4231
2008-02-26;-13.0917
2008-02-27;-17.5439
2008-02-28;-17.4839
2008-02-29;-13.0536
2008-03-01;-11.7499
2008-03-02;-6.988
2008-03-03;-6.7647
2008-03-04;-8.3832
2008-03-05;-8.1329
2008-03-06;-8.4925
2008-03-07;-8.1524
2008-03-08;-6.7701
2008-03-09;-6.5068
2008-03-10;-6.0735
2008-03-11;-4.6748
2008-03-12;-3.3329
2008-03-13;-4.8315
2008-03-14;-5.5777
2008-03-15;-4.4588
2008-03-16;-6.3577
2008-03-17;-5.9918
2008-03-18;-5.181
2008-03-19;-4.4917
2008-03-20;-6.8867
2008-03-21;-5.5403
2008-03-22;-4.4025
2008-03-23;-4.4566
2008-03-24;-5.0518
2008-03-25;-5.8909
2008-03-26;-3.756
2008-03-27;-5.2291
2008-03-28;-7.0508
2008-03-29;-7.4138
2008-03-30;-5.5191
2008-03-31;-6.5644
2008-04-01;-6.0198
2008-04-02;-5.4093
2008-04-03;-4.7004
2008-04-04;-6.7168
2008-04-05;-6.031
2008-04-06;-5.8736
2008-04-07;-5.5266
2008-04-08;-3.3822
2008-04-09;-2.4409
2008-04-10;-2.9274
2008-04-11;-2.9197
2008-04-12;-2.3179
2008-04-13;-2.9776
2008-04-14;-4.8875
2008-04-15;-2.8787
2008-04-16;-3.2631
2008-04-17;-2.9169
2008-04-18;-4.6113
2008-04-19;-4.8438
2008-04-20;-5.4318
2008-04-21;-2.5304
2008-04-22;-1.7162
2008-04-23;-1.1488
2008-04-24;0.0753
2008-04-25;-0.8567
2008-04-26;-0.7397
